,ast_element,average
92,not_operator,0.312274531024531
93,dictionary_comprehension,0.01452020202020202
94,**,0.1985930735930736
95,match,0.0
96,else_clause,0.3799152236652237
97,parenthesized_expression,0.2635732323232323
98,;,0.002435064935064935
99,from,0.05041486291486291
100,}},0.0
101,function_definition,1.0
102,delete_statement,0.023268398268398268
103,import_from_statement,0.04378607503607504
104,print,0.014114357864357864
105,_compound_statement,0.0
106,/=,0.003832972582972583
107,if,1.8462301587301588
108,(,9.148629148629148
109,list_splat_pattern,0.03905122655122655
110,pass,0.049873737373737376
111,_simple_statement,0.0
112,&,0.019209956709956708
113,==,0.42712842712842713
114,generator_expression,0.037292568542568544
115,<=,0.027056277056277056
116,async,0.010551948051948052
117,dictionary_splat_pattern,0.07702020202020202
118,if_clause,0.03607503607503607
119,ellipsis,0.01222041847041847
120,wildcard_import,0.0
121,~,0.009244227994227994
122,await,0.01424963924963925
123,<,0.07390873015873016
124,nonlocal_statement,0.00036075036075036075
125,except_clause,0.1840277777777778
126,expression_statement,7.147366522366522
127,try_statement,0.1682900432900433
128,//=,0.00018037518037518038
129,parameter,0.0
130,/,0.10556457431457432
131,import,0.060155122655122656
132,augmented_assignment,0.16048881673881674
133,primary_expression,0.0
134,future_import_statement,0.0
135,false,0.2968073593073593
136,{{,0.0
137,format_specifier,0.00036075036075036075
138,while_statement,0.04365079365079365
139,try,0.18150252525252525
140,module,1.0
141,continue,0.05808080808080808
142,def,1.0737734487734487
143,keyword_separator,0.0032016594516594515
144,pattern_list,0.27200577200577203
145,for,0.6177849927849928
146,default_parameter,0.7292568542568543
147,list_splat,0.054157647907647904
148,escape_sequence,0.2343524531024531
149,return,1.0925775613275612
150,expression,0.0
151,if_statement,1.3187680375180375
152,match_statement,0.0
153,block,1.0
154,class,0.0036525974025974025
155,print_statement,0.014114357864357864
156,**=,4.5093795093795094e-05
157,case,0.0
158,|,0.012626262626262626
159,raise,0.30582611832611833
160,list_comprehension,0.1268037518037518
161,dictionary_splat,0.09271284271284272
162,integer,1.80145202020202
163,@=,0.0
164,none,0.904716810966811
165,>>=,9.018759018759019e-05
166,relative_import,0.0174512987012987
167,exec,0.0
168,>,0.09230699855699856
169,elif,0.21721681096681097
170,is,0.34803391053391053
171,format_expression,0.0
172,subscript,1.717216810966811
173,case_pattern,0.0
174,lambda_parameters,0.042117604617604616
175,exec_statement,0.0
176,list,0.44651875901875904
177,-,0.3458694083694084
178,__future__,0.0
179,tuple_pattern,0.017406204906204908
180,identifier,40.60845057720058
181,unary_operator,0.17992424242424243
182,interpolation,0.018894300144300144
183,),9.148629148629148
184,and,0.22623556998556998
185,with_clause,0.07057178932178933
186,keyword_argument,1.557224025974026
187,assert_statement,0.04256854256854257
188,finally,0.012445887445887446
189,comparison_operator,1.3643127705627707
190,not,0.5419823232323232
191,lambda,0.048340548340548344
192,elif_clause,0.20734126984126985
193,as_pattern,0.09474206349206349
194,return_statement,1.0925775613275612
